question,answer,wrong_answer,A,B,C,D,TFQs,LFGQs,MCQs,3_MC,2_MC
最易导致胎儿先天畸形的病毒是,风疹病毒,"['鼻病毒和冠状病毒', '腮腺炎病毒', '流感病毒']",鼻病毒和冠状病毒, 腮腺炎病毒, 流感病毒,风疹病毒,最易导致胎儿先天畸形的病毒是风疹病毒吗？回答'是'或者'不是'即可。,最易导致胎儿先天畸形的病毒是什么？回答一句话即可。,请选择一个正确选项。最易导致胎儿先天畸形的病毒是：A 鼻病毒和冠状病毒 ，B  腮腺炎病毒 ，C  流感病毒，D 风疹病毒。只能选择一个选项，禁止解释。,请选择一个正确选项。最易导致胎儿先天畸形的病毒是：A 鼻病毒和冠状病毒 ，B  腮腺炎病毒 ，C 风疹病毒。只能选择一个选项，禁止解释。,请选择一个正确选项。最易导致胎儿先天畸形的病毒是：A 鼻病毒和冠状病毒 ，B 风疹病毒。只能选择一个选项，禁止解释。
新生儿接种卡介苗的时间是,出生后3天,"['出生后2天', '出生后1天', '出生后7天']",出生后2天, 出生后1天, 出生后7天,出生后3天,新生儿接种卡介苗的时间是出生后3天吗？回答'是'或者'不是'即可。,新生儿接种卡介苗的时间是什么？回答一句话即可。,请选择一个正确选项。新生儿接种卡介苗的时间是：A 出生后2天 ，B  出生后1天 ，C  出生后7天，D 出生后3天。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿接种卡介苗的时间是：A 出生后2天 ，B  出生后1天 ，C 出生后3天。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿接种卡介苗的时间是：A 出生后2天 ，B 出生后3天。只能选择一个选项，禁止解释。
血中可检出抗内因子抗体的胃炎是,A型胃炎,"['B型胃炎', '急性单纯性胃炎', '急性腐蚀性胃炎']",B型胃炎, 急性单纯性胃炎, 急性腐蚀性胃炎,A型胃炎,血中可检出抗内因子抗体的胃炎是A型胃炎吗？回答'是'或者'不是'即可。,血中可检出抗内因子抗体的胃炎是什么？回答一句话即可。,请选择一个正确选项。血中可检出抗内因子抗体的胃炎是：A B型胃炎 ，B  急性单纯性胃炎 ，C  急性腐蚀性胃炎，D A型胃炎。只能选择一个选项，禁止解释。,请选择一个正确选项。血中可检出抗内因子抗体的胃炎是：A B型胃炎 ，B  急性单纯性胃炎 ，C A型胃炎。只能选择一个选项，禁止解释。,请选择一个正确选项。血中可检出抗内因子抗体的胃炎是：A B型胃炎 ，B A型胃炎。只能选择一个选项，禁止解释。
12个月婴儿头围应是,46cm,"['34cm', '48cm', '54cm']",34cm, 48cm, 54cm,46cm,12个月婴儿头围应是46cm吗？回答'是'或者'不是'即可。,12个月婴儿头围应是什么？回答一句话即可。,请选择一个正确选项。12个月婴儿头围应是：A 34cm ，B  48cm ，C  54cm，D 46cm。只能选择一个选项，禁止解释。,请选择一个正确选项。12个月婴儿头围应是：A 34cm ，B  48cm ，C 46cm。只能选择一个选项，禁止解释。,请选择一个正确选项。12个月婴儿头围应是：A 34cm ，B 46cm。只能选择一个选项，禁止解释。
与狼疮肾损害关系最密切的自身抗体是,抗dsDNA抗体,"['抗RNP抗体', '抗SSB抗体', '抗Sm抗体']",抗RNP抗体, 抗SSB抗体, 抗Sm抗体,抗dsDNA抗体,与狼疮肾损害关系最密切的自身抗体是抗dsDNA抗体吗？回答'是'或者'不是'即可。,与狼疮肾损害关系最密切的自身抗体是什么？回答一句话即可。,请选择一个正确选项。与狼疮肾损害关系最密切的自身抗体是：A 抗RNP抗体 ，B  抗SSB抗体 ，C  抗Sm抗体，D 抗dsDNA抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。与狼疮肾损害关系最密切的自身抗体是：A 抗RNP抗体 ，B  抗SSB抗体 ，C 抗dsDNA抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。与狼疮肾损害关系最密切的自身抗体是：A 抗RNP抗体 ，B 抗dsDNA抗体。只能选择一个选项，禁止解释。
孕38周出生，体重4002g被称为,巨大儿,"['足月小样儿', '低出生体重儿', '早产儿']",足月小样儿, 低出生体重儿, 早产儿,巨大儿,孕38周出生，体重4002g被称为巨大儿吗？回答'是'或者'不是'即可。,孕38周出生，体重4002g被称为什么？回答一句话即可。,请选择一个正确选项。孕38周出生，体重4002g被称为：A 足月小样儿 ，B  低出生体重儿 ，C  早产儿，D 巨大儿。只能选择一个选项，禁止解释。,请选择一个正确选项。孕38周出生，体重4002g被称为：A 足月小样儿 ，B  低出生体重儿 ，C 巨大儿。只能选择一个选项，禁止解释。,请选择一个正确选项。孕38周出生，体重4002g被称为：A 足月小样儿 ，B 巨大儿。只能选择一个选项，禁止解释。
新生儿出生时平均身长是,50cm,"['75cm', '60cm', '45cm']",75cm, 60cm, 45cm,50cm,新生儿出生时平均身长是50cm吗？回答'是'或者'不是'即可。,新生儿出生时平均身长是什么？回答一句话即可。,请选择一个正确选项。新生儿出生时平均身长是：A 75cm ，B  60cm ，C  45cm，D 50cm。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿出生时平均身长是：A 75cm ，B  60cm ，C 50cm。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿出生时平均身长是：A 75cm ，B 50cm。只能选择一个选项，禁止解释。
诊断宫内早孕的最可靠的辅助检查方法是,B超检查,"['尿妊娠试验', '基础体温测定', '阴道脱落细胞学检查']",尿妊娠试验, 基础体温测定, 阴道脱落细胞学检查,B超检查,诊断宫内早孕的最可靠的辅助检查方法是B超检查吗？回答'是'或者'不是'即可。,诊断宫内早孕的最可靠的辅助检查方法是什么？回答一句话即可。,请选择一个正确选项。诊断宫内早孕的最可靠的辅助检查方法是：A 尿妊娠试验 ，B  基础体温测定 ，C  阴道脱落细胞学检查，D B超检查。只能选择一个选项，禁止解释。,请选择一个正确选项。诊断宫内早孕的最可靠的辅助检查方法是：A 尿妊娠试验 ，B  基础体温测定 ，C B超检查。只能选择一个选项，禁止解释。,请选择一个正确选项。诊断宫内早孕的最可靠的辅助检查方法是：A 尿妊娠试验 ，B B超检查。只能选择一个选项，禁止解释。
小儿头围与胸围大致相等的年龄是,1岁,"['6个月', '1.5岁', '2岁']",6个月, 1.5岁, 2岁,1岁,小儿头围与胸围大致相等的年龄是1岁吗？回答'是'或者'不是'即可。,小儿头围与胸围大致相等的年龄是什么？回答一句话即可。,请选择一个正确选项。小儿头围与胸围大致相等的年龄是：A 6个月 ，B  1.5岁 ，C  2岁，D 1岁。只能选择一个选项，禁止解释。,请选择一个正确选项。小儿头围与胸围大致相等的年龄是：A 6个月 ，B  1.5岁 ，C 1岁。只能选择一个选项，禁止解释。,请选择一个正确选项。小儿头围与胸围大致相等的年龄是：A 6个月 ，B 1岁。只能选择一个选项，禁止解释。
导致胎儿生长受限最常见的病因是,重度子痫前期,"['胎盘前置', '臀先露', '高龄初产']",胎盘前置, 臀先露, 高龄初产,重度子痫前期,导致胎儿生长受限最常见的病因是重度子痫前期吗？回答'是'或者'不是'即可。,导致胎儿生长受限最常见的病因是什么？回答一句话即可。,请选择一个正确选项。导致胎儿生长受限最常见的病因是：A 胎盘前置 ，B  臀先露 ，C  高龄初产，D 重度子痫前期。只能选择一个选项，禁止解释。,请选择一个正确选项。导致胎儿生长受限最常见的病因是：A 胎盘前置 ，B  臀先露 ，C 重度子痫前期。只能选择一个选项，禁止解释。,请选择一个正确选项。导致胎儿生长受限最常见的病因是：A 胎盘前置 ，B 重度子痫前期。只能选择一个选项，禁止解释。
子宫肌瘤变性最常见的是,玻璃样变,"['钙化', '红色变', '肉瘤变']",钙化, 红色变, 肉瘤变,玻璃样变,子宫肌瘤变性最常见的是玻璃样变吗？回答'是'或者'不是'即可。,子宫肌瘤变性最常见的是什么？回答一句话即可。,请选择一个正确选项。子宫肌瘤变性最常见的是：A 钙化 ，B  红色变 ，C  肉瘤变，D 玻璃样变。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫肌瘤变性最常见的是：A 钙化 ，B  红色变 ，C 玻璃样变。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫肌瘤变性最常见的是：A 钙化 ，B 玻璃样变。只能选择一个选项，禁止解释。
系统性红斑狼疮中具有该病标志性意义的抗体是,抗Sm,"['抗RNP', '抗Scl-70', '抗Jo-1']",抗RNP, 抗Scl-70, 抗Jo-1,抗Sm,系统性红斑狼疮中具有该病标志性意义的抗体是抗Sm抗体吗？回答'是'或者'不是'即可。,系统性红斑狼疮中具有该病标志性意义的抗体是什么？回答一句话即可。,请选择一个正确选项。系统性红斑狼疮中具有该病标志性意义的抗体是：A 抗RNP ，B  抗Scl-70 ，C  抗Jo-1，D 抗Sm。只能选择一个选项，禁止解释。,请选择一个正确选项。系统性红斑狼疮中具有该病标志性意义的抗体是：A 抗RNP ，B  抗Scl-70 ，C 抗Sm。只能选择一个选项，禁止解释。,请选择一个正确选项。系统性红斑狼疮中具有该病标志性意义的抗体是：A 抗RNP ，B 抗Sm。只能选择一个选项，禁止解释。
小儿出生后，卵圆孔解剖上关闭的年龄是,5～7个月,"['1～2个月', '2～3个月', '3～5个月']",1～2个月, 2～3个月, 3～5个月,5～7个月,小儿出生后，卵圆孔解剖上关闭的年龄是5～7个月吗？回答'是'或者'不是'即可。,小儿出生后，卵圆孔解剖上关闭的年龄是什么？回答一句话即可。,请选择一个正确选项。小儿出生后，卵圆孔解剖上关闭的年龄是：A 1～2个月 ，B  2～3个月 ，C  3～5个月，D 5～7个月。只能选择一个选项，禁止解释。,请选择一个正确选项。小儿出生后，卵圆孔解剖上关闭的年龄是：A 1～2个月 ，B  2～3个月 ，C 5～7个月。只能选择一个选项，禁止解释。,请选择一个正确选项。小儿出生后，卵圆孔解剖上关闭的年龄是：A 1～2个月 ，B 5～7个月。只能选择一个选项，禁止解释。
新生儿败血症最常见的病原菌是,葡萄球菌,"['绿脓杆菌', '链球菌', '念珠菌']",绿脓杆菌, 链球菌, 念珠菌,葡萄球菌,新生儿败血症最常见的病原菌是葡萄球菌吗？回答'是'或者'不是'即可。,新生儿败血症最常见的病原菌是什么？回答一句话即可。,请选择一个正确选项。新生儿败血症最常见的病原菌是：A 绿脓杆菌 ，B  链球菌 ，C  念珠菌，D 葡萄球菌。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症最常见的病原菌是：A 绿脓杆菌 ，B  链球菌 ，C 葡萄球菌。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症最常见的病原菌是：A 绿脓杆菌 ，B 葡萄球菌。只能选择一个选项，禁止解释。
由自身抗体诱导的Ⅱ型超敏反应引起的疾病是,溶血性贫血,"['支气管哮喘', '荨麻疹', '血清病']",支气管哮喘, 荨麻疹, 血清病,溶血性贫血,由自身抗体诱导的II型超敏反应引起的疾病是溶血性贫血吗？回答'是'或者'不是'即可。,由自身抗体诱导的Ⅱ型超敏反应引起的疾病是什么？回答一句话即可。,请选择一个正确选项。由自身抗体诱导的Ⅱ型超敏反应引起的疾病是：A 支气管哮喘 ，B  荨麻疹 ，C  血清病，D 溶血性贫血。只能选择一个选项，禁止解释。,请选择一个正确选项。由自身抗体诱导的Ⅱ型超敏反应引起的疾病是：A 支气管哮喘 ，B  荨麻疹 ，C 溶血性贫血。只能选择一个选项，禁止解释。,请选择一个正确选项。由自身抗体诱导的Ⅱ型超敏反应引起的疾病是：A 支气管哮喘 ，B 溶血性贫血。只能选择一个选项，禁止解释。
卵巢动、静脉通过的韧带是,骨盆漏斗韧带,"['圆韧带', '宫骶韧带', '阔韧带']",圆韧带, 宫骶韧带, 阔韧带,骨盆漏斗韧带,卵巢动、静脉通过的韧带是骨盆漏斗韧带吗？回答'是'或者'不是'即可。,卵巢动、静脉通过的韧带是什么？回答一句话即可。,请选择一个正确选项。卵巢动、静脉通过的韧带是：A 圆韧带 ，B  宫骶韧带 ，C  阔韧带，D 骨盆漏斗韧带。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢动、静脉通过的韧带是：A 圆韧带 ，B  宫骶韧带 ，C 骨盆漏斗韧带。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢动、静脉通过的韧带是：A 圆韧带 ，B 骨盆漏斗韧带。只能选择一个选项，禁止解释。
临床最常见的子宫肌瘤是,肌壁间肌瘤,"['阔韧带肌瘤', '黏膜下肌瘤', '宫颈肌瘤']",阔韧带肌瘤, 黏膜下肌瘤, 宫颈肌瘤,肌壁间肌瘤,临床最常见的子宫肌瘤是肌壁间肌瘤吗？回答'是'或者'不是'即可。,临床最常见的子宫肌瘤是什么？回答一句话即可。,请选择一个正确选项。临床最常见的子宫肌瘤是：A 阔韧带肌瘤 ，B  黏膜下肌瘤 ，C  宫颈肌瘤，D 肌壁间肌瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。临床最常见的子宫肌瘤是：A 阔韧带肌瘤 ，B  黏膜下肌瘤 ，C 肌壁间肌瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。临床最常见的子宫肌瘤是：A 阔韧带肌瘤 ，B 肌壁间肌瘤。只能选择一个选项，禁止解释。
